ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
160728;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;AGRONOMIA;SI;SI;SI
160729;UNIVERSIDAD PRIVADA SAN PEDRO;EDUCACIÓN;SI;SI;SI
160729;UNIVERSIDAD PERUANA UNIÓN;TEOLOGÍA;SI;SI;NO
160730;INCA GARCILASO DE LA VEGA;PSICOLOGIA;SI;SI;SI
160730;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;CIENCIAS HISTÓRICO SOCIALES Y EDUCACIÓN;SI;SI;SI
157845;UNIVERSIDAD DE CHICLAYO;DERECHO Y CIENCIAS POLITICAS;SI;NO;NO
157846;SEÑOR DE SIPAN;DERECHO;NO;NO;NO
157847;INCA GARCILAZO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
161340;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;INGENIERÍA MECÁNICA DE FLUIDOS;SI;SI;SI
161341;UNIVERSIDAD CESAR VALLEJO - FILIAL  LIMA;ABOGADO;SI;SI;SI
159787;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;GERENCIA SOCIAL;SI;SI;SI
158883;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MEDICINA HUMANA;SI;;SI
158884;UNM SAN MARCOS;COMPLEMENTACION PEDAGOGICA;SI;SI;NO
158885;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIAS;SI;SI;SI
158437;UNIVERSIDAD POLITECNICA DE LA AMAZONIA - UPA;AGRONOMIA;NO;;
160448;LOS ÁNGELES DE CHIMBOTE;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;NO
160448;PARTICULAR DE CHICLAYO;DERECHO Y CIENCIAS POLITICAS;;;SI
160449;PEDRO LUIS GALLO;EDUCACIÓN;SI;SI;SI
160793;UNIVERSIDAD NACIONAL DE EDUCACION "ENRIQUE GUZMAN Y VALLE";EDUCACION;SI;SI;SI
160794;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;;SI;SI;SI
161642;UNIVERSIDAD NACIONAL DE TRUJILLO;MEDICINA HUMANA;SI;SI;SI
161643;UNIVERSIDAD PRIVADA "VICTOR ANDRES BELAUNDE" LEY N° 23851;;SI;SI;SI
161643;UNIVERSIDAD PRIVADA "VICTOR ANDRES BELAUNDE" LEY N° 23851;;SI;SI;SI
161644;UNIVERSAIDAD NACIONAL PEDRO RUIZ GALLO - LAMBAYEQUE;LICENCIADO EN EDUCACION - NIVEL PRIMARIO;SI;SI;SI
157962;UNIVERSIDAD NACIONAL DE TRUJILLO;EDUCACION PRIMARIA;SI;SI;SI
157963;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;ENFERMERIA;SI;SI;SI
157964;UNIVERSIDAD PARTICULAR CHICLAYO;MEDICINA HUMANA;SI;SI;SI
160165;UNIVERSIDAD DE CHICLAYO;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
160166;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;DERECHO;SI;SI;SI
159406;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA;INGENIERÍA AGROINDUSTRIAL;SI;SI;SI
