ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
160728;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;CONSEJERO REGIONAL;2011;2014
160728;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;1999;2002
160729;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;2003;2006
158885;MOVIMIENTO REGIONAL O DEPARTAMENTAL SENTIMIENTO AMAZONENSE;ALCALDE DISTRITAL;2015;2018
160449;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;CONSEJERO REGIONAL;2011;2014
157962;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL FUERZA AMAZONENSE;ALCALDE PROVINCIAL;2011;2014
157962;MOVIMIENTO REGIONAL O DEPARTAMENTAL OBRAS POR AMAZONAS;ALCALDE PROVINCIAL;2015;2018
157964;ALIANZA ELECTORAL FUERZA POPULAR;REGIDOR PROVINCIAL;2019;HASTA LA ACTUALIDAD
160166;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;REGIDOR PROVINCIAL;2010;2010
158066;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR PROVINCIAL;1989;1991
158066;FREDEMO;CONSEJERO REGIONAL;1990;1992
160783;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;REGIDOR DISTRITAL;2014;2014
160784;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL FUERZA AMAZONENSE;ALCADE(SA) DE CENTRO POBLADO;2019;HASTA LA ACTUALIDAD
160784;ALIANZA ELECTORAL ALIANZA REGIONAL JUNTOS POR AMAZONAS;REGIDOR DISTRITAL;2011;2014
157897;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;ALCALDE PROVINCIAL;2015;2018
157898;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE NUEVA ESPERANZA REGIONAL ANCASHINA "NUE;ALCADE(SA) DE CENTRO POBLADO;2007;2011
157899;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;ALCALDE DISTRITAL;2015;2018
157899;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE RECONSTRUYAMOS ANCASH;ALCALDE DISTRITAL;2011;2014
157900;PARTIDO POLÍTICO UNION POR EL PERU;REGIDOR PROVINCIAL;1996;1998
160455;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
159524;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONGRESISTA DE LA REPÚBLICA;2006;2011
159526;IZQUIERDA UNIDA;REGIDOR PROVINCIAL;1986;1988
159203;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;REGIDOR PROVINCIAL;2015;2018
159206;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO;ALCALDE DISTRITAL;2015;2018
161599;ALIANZA ELECTORAL IZQUIERDA UNIDA;REGIDOR PROVINCIAL;1985;1988
160008;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL ANDE - MAR;REGIDOR PROVINCIAL;2015;2018
160010;PARTIDO POLÍTICO UNION POR EL PERU;ALCALDE PROVINCIAL;2011;2014
160011;MOVIMIENTO REGIONAL O DEPARTAMENTAL RENOVACION ANCASHINA;REGIDOR DISTRITAL;2015;2018
158052;OTRO;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
158055;PARTIDO POLÍTICO PERU POSIBLE;ALCALDE DISTRITAL;2011;2014
