ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159601;ESCUELA DE GUÍAS DE TURISMO - FACULTAD DE EDUCACIÓN UNC;GUÍA DE TURISMO;SI
161252;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO SAN AGUSTÍN;ENFERMERÍA TÉCNICA;SI
161254;INSTITUTO SUPERIOR TECNOLÓGICO PRIVADO - TELESUP;COMPUTACIÓN E INFORMÁTICA;SI
160976;INSTITUTO SUPERIOR TECNOLOGICO CEPEA;ADMINISTRACION Y SERVICIOS TURISTICOS;SI
160978;INSTITUTO DE EDUCACION SUPERIOR PEDAGOGICO HORACIO URTEAGA;TECNICO CONTABILIDAD;SI
158809;INSTITUTO JOSÉ MARIATEGUI;ADMINISTRACIÓN;SI
158809;INSTITUTO JOSÉ MARIATEGUI;ADMINISTRACIÓN;SI
158809;INSTITUTO JOSÉ MARIATEGUI;ADMINISTRACIÓN;SI
159291;CENACAPE AMERICA;SECRETARIADO BILINGÜE PERFECCIONAMIENTO;SI
159292;SENATI;MECÁNICA DE MANTENIMIENTO DE MAQUINARIA PESADA;SI
159538;INSTITUTO SUPERIOR TECNOLOGICO PUBLICO DE CUTERVO;TÉCNICO AGROPECUARIO;SI
159742;IPAE;ADMINISTRACIÓN DE EMPRESAS;NO
159746;SENCICO;EDIFICACIONES;NO
159582;ISTP-CUTERVO;CONTABILIDAD;SI
159585;CENECAPE PEDRO RUIZ GALLO;SECRETARIADO EJECUTIVO;SI
161086;INSTITUTO DEL SUR;ADMINISTRACION Y SISTEMAS;SI
161086;INSTITUTO DEL SUR;ADMINISTRACION Y SISTEMAS;SI
158952;SENATI - CUSCO;CONFECCIONES TEXTILES;SI
157966;EXELSIOR CUSCO;TECNICO EN ENFERMERIA;SI
158470;UNSAAC- CCI;OPERADOR DE COMPUTADORAS;SI
160482;CEO EL PORVENIR;SECRETARIADO EJECUTIVO;SI
158533;GRAN UNIDAD ESCOLAR INCA GARCILASO DE LA VEGA COMERCIO 27;CONTADOR MERCANTIL;SI
161817;EL PORVENIR;CONTABILIDAD;SI
159781;CENECAPE EL PORVENIR;MECANOGRAFIA;SI
159468;INSTITUTO SUPERIOR PEDAGÓGICO PRIVADO RICARDO PALMA;DOCENCIA EN EDUCACIÓN PRIMARIA;SI
160310;INSTITUTO DE SISTEMAS CUSCO - UNSAAC;ANALISTA DE SISTEMAS;SI
159295;ESCUELA DE LOCUTORES DEL PERU;LOCUCION;SI
159299;ECPERMON;SECRETARIADO;SI
159976;ISTAI;EDUCACIÓN;NO
159980;ISP SANTA ROSA;EDUCACIÓN;SI
161449;TELESUP;ADMINISTRACION DE EMPRESAS;NO
161450;IST AMERICANA DEL CUSCO;COMPUTACIÓN E INFORMÁTICA;SI
161451;CEO EUROAMERICANA;COSMETOLOGIA;SI
161246;INSTITUTO SUPERIOR TECNOLOGICO TUPAC AMARU;GUIA OFICIAL DE TURISMO;NO
161250;IST ELA;SECRETARIADO;SI
161290;ANTENOR ORREGO ESPINOZA;ELECTONICA;SI
160106;INSTITUTO SUPERIOR TECNOLOGICO PUBLICO DE HUANCAVELICA;CONTABILIDAD;SI
158221;INSTITUTO SUPERIOR TECNOLÓGICO PAMPAS TAYACAJA;TÉCNICO ELECTRICISTA;SI
158508;I S T P SAN PEDRO;TECNICO EN CONSTRUCCION CIVIL;SI
159990;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO DE HUANCAVELICA;CONTABILIDAD;NO
161891;INSTITUTO SUPERIOR PEDAGÓGICO PUBLICO DE HUANCAVELICA;EDUCACIÓN PRIMARIA;SI
161892;INSTITUTO ANTONIO RAYMONDI;EDUCACIÓN PRIMARIA;SI
159336;INSTITUTO TECNOLÓGICO NNQ;COMPUTACIÓN E INFORMÁTICA;SI
161652;INSTITUTO SUPERIOR TECNOLÓGICO SANTIAGO ANTUNEZ DE MAYOLO - PALIAN HUANCAYO;PRODUCCIÓN AGROPECUARIA;SI
159733;ISPP TEODORO PEÑAZOZA;HISTORIA Y GEOGRAFIA;SI
161581;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO ARGENTINA;CONTABILIDAD;SI
157878;INSTITUTO SUPERIOR TECNOLOGICO DEL ORIENTE;COMPUTACION E INFORMATICA;SI
159223;SENATI;ELECTRICIDAD INDUSTRIAL;SI
158650;INSTITUTO SUPERIOR PEDAGÓGICO ANTONIO KUHNER Y KUHNER;EDUCACIÓN PRIMARIA;SI
158683;GOBLIN MINER;TECNICO EN MAQUINARIAS PESADA;SI
157881;INSTITUTO CATALINA BUEN DIA DE PECHO;CONTABILIDAD;SI
157882;INSTITUTO SUPERIOR TECNOLOGICO DE CHINCHA;CONTABILIDAD;SI
158715;INSTITUTO SUPERIOR TECNOLÓGICO LATINO;ENERMERÍA;NO
160777;ADEX;OPERADOR DE COMERCIO;SI
159099;INSTITUTO CATALINA BUENDIA DE PECHO;MECÁNICA AUTOMOTRIZ;SI
159100;INSTITUTO TECNOLÓGICO NASCA DE NASCA;CONTABILIDAD;SI
160497;IST SAN AGUSTIN;TECNICO EN COMPUTACION E IMFORMATICA;SI
160919;INSTITUTO TELESUP;CHEFF;NO
161606;INSTITUTO SUPERIOR TECNOLÓGICO CATALINA BUENDÍA DE PECHO;TECNOLOGÍA ANÁLISIS QUÍMICO;SI
160151;INSTITUTO TECNOLÓGICO CATALINA  BUEN DÍA DE PECHO;MECÁNICA AUTOMOTRIZ;SI
161840;INSTITUTO SAN AGUSTIN;ENFERMERÍA TÉCNICA;SI
160059;INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO CHINCHA;CONTABILIDAD;SI
160060;INSTITUTO SAN IGNACIO DE LOYOLA;MARKETING;SI
160062;INSTITUTO SUPERIOR TÉCNICO PARACAS;ADMINISTRACIÓN DE SERVICIOS DE HOTELERIA;SI
161347;IPAE;ADMINISTRACION DE NEGOCIOS;NO
161348;INSTITUTO SUPERIOR TECNOLOGICO SAN AUGUSTIN;TECNICO EN ENFERMERIA;SI
159760;JOSE ANTONIO DE SUCRE;SEGURIDAD INDUSTRIAL;SI
159762;ADA A BYRON;SECRETARIADO EJECUTIVO;SI
159823;INSTITUTO SUPERIOR TECNOLOGICO DE CHINCHA;CONTABILIDAD EMPRESARIAL;SI
160922;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PUBLICO PICHANAKI;TÉCNICO AGROPECUARIA;SI
157892;ISTP SANTIAGO ANTUNEZ DE MOYOLO;PRODUCCIÓN AGROPECUARIA;NO
157893;INSTITUTO CONTINENTAL;MERCADOTECNIA;NO
159708;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO LA MERCED;CONTABILIDAD;SI
160501;INSTITUTO SUPERIOR  TECNOLÓGICO PÚBLICO PICHANAKI;ENFERMERÍA TÉCNICA;SI
160443;INSTITUTO CONTINENTAL;COMPUTACIÓN INFORMÁTICA;NO
160447;INIDE;PROFESOR;SI
160658;SENATI;MECÁNICA DE MANTENIMIENTO;SI
158033;IPAE;ADMINISTRACIÓN PEQUEÑA Y MICRO EMPRESA;SI
159995;TECNOLOGICO LA MERCED;ENFERMERIA TECNICA;SI
159304;INSTITUTO HUANCAYO;FISIOTERAPIA Y REHABILITACIÓN;NO
159305;INSTITUTO CONTINENTAL;ADMINISTRACIÓN Y MARKETING;NO
159306;ACADEMIA BROWN;SECRETARIADO;SI
159627;INSTITUTO SUPERIOR TECNOLOGICO PUERTO LIBRE;TÉCNICO AGROPECUARIO;SI
160994;IST SANTIAGO ANTUNEZ DE MAYOLO;CONTABILIDAD;SI
160686;IST  ANDRES AVELINO CACERES;COMPUTACION E INFORMATICA;SI
160689;JUAN PABLO SEGUNDO;ADMINISTRACIÓN Y COMERCIO;SI
159363;ISTP ADOLFO VIENRICH;ELECTRONICA;NO
159530;ISTP TEODORO RIVERA TAIPE;AGROPECUARIA;SI
157888;INSTITUTO TECNOLOGICO NO ESTATAL SAN LUIS;ENFERMERÍA TÉCNICA;SI
157891;IS CARLOS E UCEDA MEZA;PERIODISMO Y RELACIONES PUBLICAS;SI
160940;INSTITUTO NACIONAL DE COMERCIO;CONTABILIDAD;SI
158036;INSTITUTO EXPERIMENTAL DE COMERCIO NRO18;CONTADOR MERCANTIL;SI
158038;INSTITUTO TECNOLÓGICO CHANCHAN - TRUJILLO;CONSTRUCCIÓN CIVIL;SI
158559;INSTITUTO TECNOLÓGICO DEL NORTE;PUBLICIDAD Y DISEÑO;SI
159173;PERU FRANCIA;SECRETARIADO EJECUTIVO;SI
160507;SENATI ZONAL LA LIBERTAD;TÉCNICO INDUSTRIAL;SI
160508;INSTITUTO SUPERIOR TECNOLOGICO TELESUP;COMPUTACIÓN E INFORMATICA;SI
160510;INSTITUTO LEONARDO DA VINCI;DISEÑO GRÁFICO PUBLICITARIO;NO
158317;IST NO ESTATAL JHON F KENNEDY;CONTABILIDAD;SI
158321;ISTNE SAN LUIS;ENFERMERÍA TÉCNICA;SI
161453;INSTITUTO SUPERIOR TECNOLOGICO ESTATAL TRUJILLO;TECNICO EN CONTABILIDAD;NO
161453;INSTITUTO SUPERIOR TECNOLOGICO ESTATAL TRUJILLO;TECNICO EN CONTABILIDAD;NO
159640;CENTRO TECNOLÓGICO INFORMÁTICA STANFORD;TÉCNICO EN COMPUTACIÓN;SI
159641;-;AGROPECUARIO;NO
159766;AMERICANA DE TURISMO;AVIACIÓN COMERCIAL;SI
161766;SENCICO;ENSAMBLAJE DE COMPUTADORAS;SI
161774;INSTITUTO LEONARDO DA VINCI;ADMINISTRACION;NO
158978;ITN - CIBERTEC;CONTABILIDAD;NO
158979;INSTITUTO SUPERIOR TECNOLOGICO DEL NORTE;PUBLICIDAD Y DISEÑO GRAFICO;NO
159652;CIBERTEC;DISEÑO GRAFICO;SI
161719;CEVATUR;COUTER;SI
159711;INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS - IPAE;ADMINISTRACION;SI
159714;CIMA;COMPUTACION E INFORMATICA;SI
159715;INSTITUTO LEONARDO DA VINCI;SECRETARIADO;SI
158405;CESCA;COMPUTACION;SI
161136;REPÚBLICA FEDERAL ALEMANA;CONTABILIDAD EMPRESARIAL;SI
159081;INSTITUTO DE ALTOS ESTUDIOS TURISTICOS CEVATUR - LIMA;ADMINISTRACION TURISTICA - GUIA OFICIAL DE TURISMO;SI
158117;SENATI;MANTENIMIENTO EN  EQUIPOS INDUSTRIALES;SI
158118;IPAE;ADMINISTRACIÓN DE EMPRESAS;NO
160022;ISTP PASCUAL SACO OLIVEROS;ADMINISTRACION;SI
159163;ACDEMICO ANDRES BELLO;SECRETARIA   CASTELLANO;SI
161571;ALIANZA FRANCESA;IDIOMA FRANCES;NO
161563;INSTITUTO SUPERIOR TÉCNICO ENRIQUE LÓPEZ ALBUJAR;ADMINISTRACION DE EMPRESAS;SI
160104;ESCUELA DE FORMACIÓN DE POLICÍA FEMENINA DE LA GUARDIA CIVIL DEL PERÚ;CIENCIAS ADMINISTRATIVAS Y POLICIALES;SI
160105;INSTITUTO SUPERIOR TÉCNICO JUAN MEJÍA BACA;CONTABILIDAD;SI
159143;SENCICO;OPERADOR DE MAQUINARIA PESADA;SI
158764;CEOGNE MARIA DE LOS ANGELES;SECRETARIADO EJECUTIVO COMPUTARIZADO;SI
158705;AUSTIN COMMUNITY COLLEGE;TÉCNICO EN FIBRA ÓPTICA;SI
159109;INSTITUTO MARIA AUXILIADORA;CONFECCION INDUSTRIAL;SI
159111;INSTITUTO SUPERIOR DE CIENCIAS ADMINISTRATIVAS;CIENCIAS ADMINISTRATIVAS;SI
159115;ISTP ANTENOR ORREGO;MECANICA AUTOMOTRIZ;SI
159118;CITEN;CONTROL DE TIRO;SI
159121;IDAT;ADMINISTRACION;NO
159122;ESCUELAS AMERICANAS;AUXILIAR DE CONTABILIDAD;SI
159130;ICAEN;CONTABILIDAD GENERAL;SI
159140;ISTECEX - ADEX;ADMINISTRACION DE COMERCIO EXTERIOR;SI
157994;ESCUELA MILITAR DE CHORRILLOS;CIENCIAS MILITARES;SI
158003;UNIVERSIDAD DE LIMA;CONCILIADOR EXTRAJUDICIAL;SI
158004;SENATI;ADMINISTRADORES INDUSTRIALES;NO
158008;INSTITUTO PERUANO ALEMAN;SECRETARIADO EJECUTIVO;SI
158013;INSTITUTO SISTEMAS PERU;PERIODISMO RADIAL TELEVISIVO;SI
158014;PROFESSIONAL AIR;PILOTO PRIVADO;SI
161519;IST TELESUP;CONTABILIDAD;SI
161522;MANUEL SEOANE C;COMPUTACIÓN INFORMÁTICA;NO
161525;ADEC;ADMINISTRACION;SI
161532;ICPNA;IDIOMA INGLES;SI
161533;INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS - IPEA;ADMINISTRACION DE NEGOCIOS;SI
161534;IST PAUL MULLER;MARKETING EMPRESARIAL;SI
161537;ISP ENRIQUE ENCINAS;ASISTENTE DE NIÑOS;SI
161539;INSTITUTO SUPERIOR TECNOLOGICO MEGATRONIC;PERIODISMO;SI
161541;TECSUP;MANTENIMIENTO DE MAQUINARIA DE PLANTA;SI
161548;ESCUELAS AMERICANAS;SECRETARIADO COMERCIAL BILINGUE;SI
158773;INSTITUTO NACIONAL DE COMERCIO NRO 60-MIRAFLORES;CONTADOR MERCANTIL;SI
158775;IPAE;ADMINISTRACIÓN DE EMPRESAS;NO
158777;ESCUELA NACIONAL DEL FOLKLORE JOSE MARIA ARGUEDAS;EDUCACION ARTISTICA EN FOLKLORE DANZA;NO
158778;ZEGEL IPAE;ADMINISTRACION DE EMPRESAS;SI
158782;UNIVERSIDAD INCA GARCILASO DE LA VEGA;PROGRAMACION DE COMPUTADORAS;SI
158784;PCC COLLEGE;AA CONTABILIDAD;SI
158789;CENTRO DE INSTRUCCIÓN TÉCNICO NAVAL;MECÁNICO AERONAUTICO;SI
158792;TELESUP;TÉCNICO EN OFIMÁTICA Y ADMINISTRADOR DE BASE DE DATOS;SI
158793;INTERNATIONAL TELEVISION WORKSHOP;TV PROUCCION;SI
158799;CEVATUR;ADMINISTRACIÓN DE SERVICIOS HOSTELEROS;SI
161665;INSTITUTO ESTADOS UNIDOS (RICARDO BENTIN);AUTOMOTORES;NO
161679;INSTITUTO SUPERIOR TECNOLÓGICO REPÚBLICA FEDERAL DE ALEMANIA;MECÁNICA DE PRODUCCIÓN;SI
161687;INSTITUTO SUPERIOR BARRAQUER;OBTOMETRIA;SI
161688;INSTITUTO PERUANO ALEMAN;TECNICO EN COMPUTACION;SI
161691;INSTITUTO SUPERIOR TECNOLOGICO MARIA ROSARIO AROZ PINTO;ADMINISTRACION;SI
161693;INSTITUTO SUPERIOR TECNOLÓGICO GARCILAZO DE LA VEGA;ELECTRONICA;NO
161695;IE SAN JUAN;EDUCACIÓN SUPERIOR;NO
161696;SENATI;ELECTRONICA INDUSTRIAL;SI
161697;IPAE;ADMINISTRACION;SI
161698;ESAN;GESTIÓN EN ORDENAMIENTO TERRITORIAL;SI
159667;INSTITUTO TECNOLÓGICO  CERTUS;CONTABILIDAD;SI
159669;SENCIOCO;INSTALACIÓN ELÉCTRICOS;SI
159670;ISEL;COMPUTACION E  INFORMATICA;SI
159671;INSTITUTO SUPERIOR TECNOLOGICO CARLOS CUETO FERNANDINI;CONTABILIDAD;SI
159677;CEPS - UNI;AUTO CAD 3D;SI
159680;INSTITUCIÓN SUPERIOR CHAN CHAN;MECÁNICA DE PRODUCCIÓN;SI
159683;GAMOR;MANTENIMIENTO BÁSICO DE VEHÍCULOS MOTORIZADOS;SI
159685;INSTITUTO PEDAGÓGICO NACIONAL DE MONTERRICO;LICENCIADA EN EDUCACIÓN SECUNDARIA;SI
159686;TECSUP;MANTENIMIENTO MAQUINARIA;SI
