ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159291;INSTITUTO PERUANO DE ADMINISTRACIÓN DE EMPRESAS - IPAE;ADMINISTRACIÓN DE MEDIANAS Y PEQUEÑAS EMPRESAS;SI
159292;CETPRO SAN JOSÉ OBRERO;ADMINISTRACIÓN Y COMERCIO;SI
159538;INSTITUTO SUPERIOR PEDAGOGICO PRIVADO TACABAMBA;PROFESOR;SI
159741;CEOGNE - CELENDIN;COMPUTACION E INFORMATICA;SI
159742;CESAP;PREVENCIONISTA DE RIESGOS;SI
160142;INSTITUTO SUPERIOR PEDAGOGICO HERMANO VICTORIO ELORZ GOICOECHEA;EDUCACION SECUNDARIA - ESPECIALIDAD MATEMATICA;SI
160146;INSTITUTO SUPERIOR PEDAGÓGICO SAN FRANCISCO DE ASÍS CAJAMARCA;PROFESOR EDUCACIÓN PRIMARIA;SI
159582;ISPP OMG;FILOSOFIA Y RELIGION;SI
160191;PEDAGOGICO;EDUCACION PRIMARIA;SI
161086;EUCIM;MASTER GESTION PUBLICA;SI
161086;EUCIM;MASTER GESTION PUBLICA;SI
158951;ESCUELA SUPERIOR AUTONOMA DE BELLAS ARTES "DIEGO QUISPE TITO" DE CUSCO;PROFESOR DE EDUCACION ARTISTICA;SI
157969;INSTITUTO SUPERIOR LA SALLE DE URUBAMBA;PROFESOR DE EDUCACION PRIMARIA;SI
158469;ISPP SANTA ROSA;EDUCACION  DE NIVEL INICIAL CON ENFASIS DE ESTIMULACION TEMPRANA;SI
158470;CEPRO    PEDRO RUIZ GALLO;INGLES BASICO;SI
161817;INSTITUTO CUSCO;COMPUTACIÓN E INFORMÁTICA;SI
161818;CIMUVI - CUSCO;CONTABILIDAD;SI
161820;CLUB INKAS CUSCO;TAE KWON DO;
160310;CEOGNE "EL POR VENIR";SECRETARIADO EJECUTIVO;SI
159976;CONAP - GESTION PUBLICA;GESTIÓN PUBLICA - SISTEMAS DE CONTROL DEL ESTADO;SI
161449;CATALINA BUEN DIA DE PECHO;CONTABILIDAD;
161450;ISP SANTA ROSA;HISTORIA Y GEOGRAFÍA;SI
161178;INSTITUTO SUPERIOR PEDAGÓGICO TUPAC AMARU DE TINTA;EDUCACIÓN PRIMARIA;SI
161246;INSTITUTO SUPERIOR TECNOLOGICO TUPAC AMARU;GUIA OFICIAL DE TIRISMO;
161288;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO HUANCAVELICA;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA;SI
159989;INSTITUTO SUPERIOR PEDAGOGICO DE HUANCAVELICA;PROFESOR DE EDUCACIÓN SECUNDARIA;SI
161892;MINISTERIO DE LA MUJER E INCLUSIÓN SOCIAL;CONCILIADOR EXTRAJUDICIAL;SI
160185;INSTITUTO SUPERIOR PEDAGÓGICO PÚBLICO DE HUANCAVELICA;EDUCACIÓN PRIMARIA;SI
159872;INSTITUTO SUPERIOR PEDAGÓGICO PARTICULAR BILINGUE VIRGEN DEL CARMEN - LIRCAY;EDUCACIÓN PRIMARIA - EDUCACIÓN INTERCULTURAL BILINGUE;SI
161465;INSTITUTO PEDAGÓGICO SUPERIOR MARCOS DURAND MARTEL;EDUCACION PRIMARIA;SI
158263;CONSERVATORIO NACIONAL DE ARTES Y OFICIOS - FRANCIA;ESTRATEGIAS APLICADAS A LAS ORGANIZACIONES Y PROSPECTIVA APLICADA A LOS TERRITORIOS;
159562;INSTITUTO SUPERIOR PEDAGÓGICO PUBLICO  MARCOS DURAN MARTEL;PROFESORA DE EDUCACIÓN PRIMARIA;SI
161633;UNIVERSIDAD SAN MARTIN;PROGRAMA DE LIDERAZGO PARA LA TRANSFORMACIÓN;SI
160139;ISP CARLOS MEDRANO VASQUEZ;PROFESORA DE EDUCACION SECUNDARIA ESPECIALIDAD CIENCIAS NATURALES;SI
157881;ESAN;ESPECIALISTA EN GESTIÓN MUNICIPAL;SI
158714;INSTITUTO SUPERIOR TECNOLOGICO PUBLICO CHINCHA;CONTABILIDAD;SI
160495;INSTITUTO SUPERIOR TECNOLOGICO JESUS DE NAZARETH -CAÑETE;CIENCIAS SOCIALES;SI
160498;ISPP MANUEL SANTANA CHIRI;EDUCACION PRIMARIA;SI
160918;ESCUELA DE BELLAS ARTES SERVULO GUTIERREZ;DOCENTE ARTES PLASTICAS;SI
161347;ESCUELA DE ALTA DIRECCION;PROGRAMA PARA PROPIETARIOS DE EMPRESAS;SI
159760;VERIFICAR;GERENCIA EN SEGURIDAD;SI
159822;ESCUELA DE GOBIERNO Y POLÍTICAS PUBLICAS DE LA PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;PROGRAMA DE GOBERNABILIDAD EN GERENCIA POLÍTICA Y GESTIÓN PÚBLICA;SI
159823;INSTITUTO SUPERIOR PEDAGÓGICO DE CHINCHA;EDUCACIÓN PRIMARIA;SI
158192;INSTITUTO SUPERIOR PEDAGOGICO MARCOS DURAND MARTEL (HUANUCO);PROFESORA DE EDUCACION INICIAL;SI
158933;INSTITUTO SUPERIOR CHINCHA;PROFESOR DE EDUCACION SECUNDARIA;SI
160924;INSTITUTO CULTURAL PERUANO NORTE AMERICANO - SEDE HUANCAYO;INGLES;SI
160925;CIRSA;DEALER;SI
157895;INSTITUTO SUPERIOR PEDAGÓGICO PUBLICO  TEODORO PEÑALOZA;LENGUA Y LITERATURA;SI
157990;SEANTI;TEJEDURÍA PLANA;
160502;INSTITUTO SUPERIOR PEDAGÓGICO DEL CENTRO;PROFESORA DE PRIMARIA;SI
160662;INSTITUTO SUPERIOR PEDAGOGICO PRIVADO "SAN JUAN BOSCO";EDUCACION PRIMARIA;SI
158033;CAEN;ADMINISTRACIÓN;SI
157889;INSTITUTO SUPERIOR PEDAGOGICO JOSE FAUSTINO SANCHEZ CARRION;PROFESOR DE EDUCACIÓN PRIMARIA;SI
160940;INSURGENTES MÉXICO;ARTE DRAMÁTICO;
160943;INSTITUTO MANUEL GONZALES PRADA;MECANICA DE PRODUCCIÓN;
160945;ISTP FLORENCIA DE MORA;CONTABILIDAD;SI
160946;ISTP INDOAMERICANO;CONTABILIDAD;
158038;ESCUELA REGIONAL DE ARTE DRAMÁTICO TRUJILLO;ACTOR;SI
158039;INSTITUTO SUPERIOR PEDAGOGICO PRIVADO "SAN MARCOS"-TRUJILLO;PROFESOR DE HISTORIA Y GEOGRAFÍA;SI
158040;ISP- INDOAMERICA;PROFESORA DE EDUCACIÓN TÉCNICA;SI
158559;UNIVERSIDAD NACIONAL DE TRUJILLO;DIPLOMADO EN DOCENCIA SUPERIOR;SI
158560;ISP "DAVID SÁNCHEZ INFANTE";EDUCACIÓN - ESPECIALIDAD MATEMÁTICA;
161660;INSTITUTO INTERAMERICA;CONTABILIDAD;
161663;INIDE-ME;EDUCACION;SI
158316;INSTITUTO DE DESARROLLO GERENCIAL;SUPERVISION DE OBRAS PRIVADAS Y PUBLICAS;SI
161453;INSTITUTO PERUANO DEL DEPORTE;GESTOR DEPORTIVO;
161453;INSTITUTO PERUANO DEL DEPORTE;GESTOR DEPORTIVO;
159764;INSTITUTO CULTURAL PERUANO NORTEAMERICANO;IDIOMA INGLES;
159765;INSTITUTO SUPERIOR PEDAGÓGICO INDOAMÉRICA;EDUCACIÓN PRIMARIA;SI
158975;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO "TAYABAMBA";PROFESOR DE HISTORIA Y GEOGRAFIA;SI
158977;ISP INDOAMERICA;PROFESOR DE HISTORIA Y GEOGRAFIA;SI
161717;AVEDAÑO -LIMA;CONCILIACIÓN EXTRAJUDICIAL;SI
161719;POLICIA NACIONAL PERU;POLICIA;SI
