ID_CANDIDATO;ORGANIZACION_POLITICA;ANIO;FECHA_RENUNCIA
158104;PARTIDO POLÍTICO UNION POR EL PERU;2011;/Date(-62135578800000)/
161009;MOVIMIENTO REGIONAL O DEPARTAMENTAL TODOS POR AREQUIPA;2016;/Date(-62135578800000)/
160916;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DE AREQUIPA;2016;/Date(-62135578800000)/
161575;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
160732;PARTIDO POLÍTICO PERU POSIBLE;2002;/Date(-62135578800000)/
160736;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2014;/Date(-62135578800000)/
160345;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DEL PERU;2011;/Date(-62135578800000)/
158656;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2017;/Date(-62135578800000)/
159720;PARTIDO POLÍTICO PERU POSIBLE;2010;/Date(-62135578800000)/
159723;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
159179;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2009;/Date(-62135578800000)/
159179;PARTIDO POLÍTICO UNION POR EL PERU;2015;/Date(-62135578800000)/
158515;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
158516;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2013;/Date(-62135578800000)/
158517;PARTIDO POLÍTICO UNION POR EL PERU;2010;/Date(-62135578800000)/
158099;PARTIDO POLÍTICO AGRUPACION INDEPENDIENTE SI CUMPLE;2007;/Date(-62135578800000)/
158613;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DE AYACUCHO;2018;/Date(-62135578800000)/
158456;PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA;2008;/Date(-62135578800000)/
160453;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2018;/Date(-62135578800000)/
160901;MOVIMIENTO REGIONAL O DEPARTAMENTAL QATUN TARPUY;2019;/Date(-62135578800000)/
160902;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MIVA - CARMEN ALTO;2011;/Date(-62135578800000)/
158628;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE REGIONAL AYACUCHO;2014;/Date(-62135578800000)/
158628;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
161158;MOVIMIENTO REGIONAL O DEPARTAMENTAL QATUN TARPUY;2014;/Date(-62135578800000)/
161158;MOVIMIENTO REGIONAL O DEPARTAMENTAL CCALAMAQUI;2009;/Date(-62135578800000)/
160100;PARTIDO POLÍTICO ACCION POPULAR;2019;/Date(-62135578800000)/
160220;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL;2019;/Date(-62135578800000)/
160222;MOVIMIENTO REGIONAL O DEPARTAMENTAL ALIANZA RENACE AYACUCHO;2019;/Date(-62135578800000)/
160633;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL;2012;/Date(-62135578800000)/
160401;MOVIMIENTO REGIONAL O DEPARTAMENTAL QATUN TARPUY;2019;/Date(-62135578800000)/
160402;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
158220;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
159629;MOVIMIENTO REGIONAL O DEPARTAMENTAL MUSUQ ÑAN;2019;/Date(-62135578800000)/
160679;PARTIDO POLÍTICO UNION POR EL PERU;2017;/Date(-62135578800000)/
