ID_CANDIDATO;TIPO_BIEN;VALOR
160462;PREDIO RUSTICO;45000
160464;PARCELA;14000
160465;TERRENO;5000
160465;TERRENO;65000
160465;DEPARTAMENTO;350000
160467;PARCELA;20000
160467;PREDIO RURAL;15000
160467;PREDIO RURAL;15057.65
160467;CASA;20000
160467;LOTE;31270.15
160467;CASA;217438.85
160467;CASA;25000
160467;PREDIO RURAL;6000
160467;PREDIO RURAL;2000
160467;PREDIO RURAL;2000
158830;LOTE VIVIENDA;122122.96
158830;PARCELA AGRÍCOLA;52204.92
158830;LOTE GRANJA;12815.83
158830;LOTE;4750
158830;LOTE;10500
158834;VIVIENDA;41067
160092;VIVIENDA;30000
158100;CASA;103326
158100;OFICINA;10675
158100;LOCAL;35132
158100;LOCAL;43407
158100;TERRENO;27000
158104;CASA;158781
158105;TERRENO;502500
161008;CASA HABITACION;100000
161008;CASA PLAYA;70000
161009;INMUEBLE;400000
161575;PREDIO RUSTICO;18411.13
161575;PREDIO RUSTICO;11667.62
161575;PREDIO RUSTICO;11029.7
161575;PREDIO RUSTICO;20840.44
161575;PREDIO RUSTICO;8552.44
161575;PREDIO RUSTICO;4553.17
161575;CASA;24488.54
161575;CASA;29786.12
159225;CASA;228181
159225;CASA;88332
159225;CASA;408998
159225;CASA;828877
159225;CASA;32850
159225;CASA;32850
159225;TERRENO RUSTICO;103633
159225;TERRENO RUSTICO;6720
159225;TERRENO RUSTICO;7446
159225;TERRENO RUSTICO;6717
159225;TERRENO RUSTICO;6717
159225;TERRENO RUSTICO;6717
159225;TERRENO RUSTICO;6723
159225;TERRENO RUSTICO;6697
159225;TERRENO RUSTICO;10339
159225;TERRENO RUSTICO;6720
159229;CASA;250000
159229;OFICINA;20000
159229;CASA;150000
159229;DEPARTAMENTO;180000
159229;1/6 CASA;30000
159229;1/6 CASA;30000
159230;TERRENO;99000
160732;OFICINA;14344.11
160735;CASA;100000
160348;CASA;6000000
160348;CASA;1500000
160348;CASA;300000
160348;TERRENO;350000
160348;TERRENO;32000
158659;VIVIENDA;157000
159721;PREDIO;73466
159721;PREDIO;127850.03
159179;INMUEBLE;3000000
159179;INMUEBLE;868400
159180;DEPARTAMENTO;76138.71
159181;CASA;108385.49
158514;VIVIENDA;150000
158514;TERRENO RUSTICO;20000
158514;TERRENO RUSTICO;15000
158514;TERRENO RUSTICO;25000
158515;VIVIENDA;150000
158516;VIVIENDA;60910
158516;VIVIENDA;5120
158516;TIENDA;1840
158517;VIVIENDA;300000
158517;VIVIENDA;60000
158517;TERRENO;40000
158519;VIVIENDA;30000
158519;TERRENO RUSTICO;10000
158094;TERRENO;24640
158094;DEPARTAMENTO;109570.65000000001
158095;COCHERA;3698.69
158095;DEPARTAMENTO;73937.75
158096;CASA;182727
158096;CASA;80000
158097;CASA;91757
158097;TERRENO;9700
158098;CASA;43991.770000000004
158098;PREDIO RURAL;2797.42
158098;PREDIO RURAL;2950.14
158098;PREDIO RURAL;7527.7300000000005
158098;PREDIO RURAL;3248.59
158099;PREDIO;224766.6
158099;PREDIO;195391.64
158099;PREDIO;157190.33000000002
158099;PREDIO;165000
158099;PREDIO;8127
158099;PREDIO;20693.3
158992;CASA;948
158992;CASA;10
158992;CASA;0
157857;TERRENO AGRÍCOLA;15000
157857;TERRENO AGRÍCOLA;60000
157858;PREDIO;260000
157858;PREDIO;250000
157859;PREDIO;0
158613;PREDIO;200000
158613;PREDIO;150000
158613;PREDIO;200000
158613;PREDIO;60000
159422;DEPARTAMENTO;57587
161468;CASA;500000
158454;TERRENO;6000
158455;CASA;62075
158456;CASA;5000
158456;CASA;5000
160452;CASA;235006.93
160453;TERRENO;200000
160901;VIVIENDA;20000
160901;TERRENO DE CULTIVO;20000
160099;CASA;150000
160220;CASA;190000
160220;CASA;180000
160220;TERRENO;200000
160220;TERRENO;150000
160220;TERRENO;100000
160221;TERRENO;150000
160221;TERRENO;100000
160222;CASA;80000
160222;CASA;88000
160222;TERRENO;200000
160633;VIVIENDA;120000
160634;VIVIENDA;160000
160634;TERRENO;10000
160634;TERRENO;10000
160401;TERRENO;120000
159563;OFICINA;946710
159563;OFICINA;224803
159563;OFICINA;15215
159563;OFICINA;4492
159563;PREDIO;207560
159563;PREDIO;121198.87
159563;PREDIO;9798.01
159564;PREDIO;20000
161168;CASA;250000
161168;TERRENO;60000
158219;INMUEBLE;125000
159629;TERRENO;45600
160677;AGRONIEVA EIRL;300000
160677;TERRENO URBANO;46000
160678;CASA;400000
160679;CASA;20000
160680;TERRENO;2500
160680;TERRENO;2400
160680;TERRENO;45000
160680;TERRENO;6500
160681;CASA;19096.670000000002
157860;TERRENO;10000
157860;TERRENO;30000
157861;CASA;30000
157862;TERRENO;8006.400000000001
157862;TERRENO RURAL;20000
157863;CASA;116995.65000000001
157863;CASA;1068254.35
157863;FUNDO;300000
157864;TERRENO;150000
157864;TERRENO;100000
157864;CASA;100000
157865;CASA;9284.14
157865;LOTE;4000
161315;DEPARTAMENTO;265000
161315;DEPARTAMENTO;265000
161315;COCHERA;50000
161316;CASA;80000
159380;TERRENO;3169.66
159380;CASA;155580.67
159381;CASA;420
159382;INMUEBLE - CASA - MATERIAL RUS;60000
159382;BIEN INMUEBLE - TERRENO;70000
158248;CASA;0
158248;CASA;0
158249;CASA;61758.94
158250;DEPARTAMENTO;117.46000000000001
158251;TERRENO RÚSTICO;47327.3
158251;TERRERO RÚSTICO;70921.6
158253;PREDIO;94.9
158459;TERRENO;2446
158460;TERRENO;10000
158462;CASA;0
160468;TERRENO PROPIO;168930.30000000002
160469;INMUEBLE;1516159.08
160469;INMUEBLE;200000
160470;CASA;2010.06
160470;CASA;2010.06
160470;CASA;1315.05
160470;HOTEL;13287.630000000001
160470;HOSTAL;110450.82
160470;TERRENO;1888.08
160470;TERRENO;1888.08
160470;TERRENO;1803.9
160470;TERRENO;1803.9
160470;TERRENO;1883.3
160473;CASA;26000
160473;TERRENO;20000
159601;INMUEBLE;87177.54000000001
159601;PREDIO;1920
159602;INMUEBLE;71.38
159603;INMUEBLE SOLAR;4776.32
159603;INMUEBLE;1780.8600000000001
159603;INMUEBLE POR DECLARAR;278.22
159603;TERRENO AGRICOLA;0
159603;TERRENO AGRICOLA;0
161252;VIVIENDA;120000
161256;VIVIENDA;61720.97
161334;CASA TERRENO;10000
161334;TERRENO;5000
161334;TERRENO;5000
161334;CASA;15000
161334;TERRENO;20000
161334;TERRENO;10000
161334;CASA;10000
161335;TERRENO;50000
161335;TERRENO;70000
161335;TERRENO;50000
