ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
160375;INST TELESUP;TELECOMUNICACIONES;NO
160384;CEO NUCLEAR;AUXILIAR D OFICINA;SI
160389;INSTITUTO HUANCAYO;ENFERMERIA TECNICA;SI
160818;SENATI;MECANICO DE TALLER;SI
160821;ABACCO;DISEÑO GRÁFICO;SI
160822;CETPRO NUESTRA SEÑORA DE GUADALUPE;MODULO OPERATIVIDAD DE MAQUINAS DE CONFECCIÓN;SI
160832;INSTITUTO JESUS NAZARETH;PROFESOR;SI
160835;CICEX;INGLES TECNICO;NO
159838;THE GEORGE WASHINGTON UNIVERSITY;ESTRATEGIAS DE CAMPAÑAS ELECTORALES;SI
159839;INSTITUTO NACIONAL DE COMERCIO N° 52;CONTABILIDAD;SI
159849;INSTITUTO SUPERIOR TECNOLÓGICO FEDERICO VILLARREAL;SECRETARIADO EJECUTIVO;SI
159852;ADB PERU;MARKETING;NO
159857;TUSAN;EDUCACION INICIAL;SI
159860;IE CORDON BLEU;GESTIÓN DE RESTAURANT;SI
158727;ACADEMIA ELA;SECRETARIADO EJECUTIVO;SI
158733;ICPNA;INGLES;NO
158736;INSTITUTO DE EDUCACIÓN SUPERIOR;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA;SI
158744;CETPRO JUANA IRIS C;AUXILIAR DE CONTABILIDAD;SI
158746;FUERZA AEREA DEL PERU;ESPECIALISTA DE ABASTECIMIENTO;SI
158748;INSTITUTO NACIONAL PENITENCIARIO;CIENCIAS DE LAS COMUNICACIONES;SI
158749;ISIL;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;SI
158751;CEPEA;ENFERMERÍA TÉCNICA;SI
158752;JUAN XXIII;EDUCACION PRIMARIA;SI
158755;INSTITUTO DE FORMACION BANCARIA;ADMINISTRACION DE EMPRESAS;SI
158758;INSTITUTO PRIVADO CHARLES CHAPLIN;CIENCIAS DE LA COMUNICACION;SI
158630;DANIEL ALCIDES CARRION;TÉCNICO EN COMPUTACIÓN E INFORMATICA;SI
157908;INSTITUTO CAYETANO HEREDIA;TECNICA EN ENFERMERÍA;SI
157908;INSTITUTO CAYETANO HEREDIA;ENFERMERÍA TÉCNICA;SI
159885;INSTITUTO SUPERIOR TECNOLOGICO MAX PLACK AMBO;TECNICO EN ENFERMERIA;SI
160553;INSTITUTO SUPERIOR PEDAGÓGICO JESÚS NAZARETH -CAÑETE;EDUCACIÓN SECUNDARIA;SI
160998;ESCUELA DE CAPACITACION PROFESIONAL SEMBRANDO VALORES Y LA UNIVERSIDAD INCA GARCILAZO DE LA VEGA;DIPLOMADO EN GESTION PUBLICA CON MENCION EN RESPONSABILIDAD ADMINISTRATIVA Y PROGRAMAS SOCIALES;SI
159617;INSTITUTO CONTINENTAL;COMPUTACIÓN;SI
159439;CECITEL;TELEOPERADOR TELEFONICO;SI
160704;INSTITUTO PERUANO DE TURISMO Y FINANZAS IPT - PERU;PROFESIONAL TÉCNICO EN ADMINISTRACIÓN TURÍSTICA Y HOTELERA;SI
159217;INSTITUTO PERUANO DE SEGURO;TECNICO EN SEGUROS;SI
159513;INSTITUTO JOSE PARDO;MECANICA;SI
159514;INSTITUTO CIMAS;SECRETARIADO EJECUTIVO;NO
161240;INSTITUTO IDAT;COMPUTACION E INFORMATICA;SI
158116;INSTITUTO SANTA MARIA;INGLES BÁSICO;NO
158195;INSTITUTO SAN IGNACIO DE LOYOLA;COMPUTACIÓN E INFORMÁTICA;SI
158262;CETPRO PADRE JESUS GARCIA;ELECTRICA BASICA;SI
158701;IESTPAY TECNOLOGICO AMAZONAS-YURIMAGUAS;AGROPECUARIA;SI
158589;INSTITUTO SUPERIOR TECNOLÓGICO;CONTABILIDAD;SI
160231;AMERICAN COMPUTER;ASISTENTE DE GERENCIA;SI
161629;INSTITUTO SUPERIOR TECNOLOGICO ESTATAL AMAZONAS YURIMAGUAS;PRODUCCION AGROPECUARIA;SI
159420;SENATI;OFIMATICA;SI
159426;UNT;SECRETARIADO EJECUTIVOO;SI
160235;INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PUBLICO JOAQUIN REATEGUI MEDINA;TECNICO EN CONTABILIDAD;SI
158850;PEDRO DEL AGUILA HIDALGO - "PADAH";CARRERA TÉCNICA DE AGROPECUARIA;SI
161473;SENATI;MECANICA AUTOMOTRIZ;NO
158603;INSTITUTO SUPERIOR TECNOLÓGICO TUPAC AMARU;TECNICA DE PRODUCCION;SI
158605;CEO PRIVADO INTEFOR;ALTA COSTURA;SI
160561;ISTE TRUJILLO;GUÍA OFICIAL DE TURISMO;SI
161555;INSTITUTO SUPERIOR TECNOLÓGICO JORGE BASADRE GROHMANN;TÉCNICO EN CONTABILIDAD;NO
161555;INSTITUTO SUPERIOR TECNOLÓGICO JORGE BASADRE GROHMANN;TÉCNICO EN CONTABILIDAD;NO
158415;TELESUP FILIAL MADRE DE DIOS;COMPUTACIÓN E INFORMÁTICA;SI
