ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
159903;UNIVERSIDAD ESAN;MAESTRIA EN GESTION PUBLICA;SI;SI
159904;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;DERECHO ADMINISTRATIVO Y GESTION PUBLICA;SI;SI
159905;ALAS PERUANAS;MAESTRIA EN SALUD OCUPACIONAL;SI;SI
159910;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;;NO
159916;UNIVERSIDAD SAN MARCOS;CIENCIAS PENALES;SI;SI
159918;U.N. ENRIQUE GUZMAN Y VALLE;EDUCACION AMBIENTAL Y DESARROLLO SOSTENIBLE;SI;SI
159923;ESCUELA DE POSTGRADO UNIVERSIDAD TECNOLÓGICA DEL PERU;MAESTRÍA EN MARKETING Y GESTIÓN COMERCIAL;;NO
161412;UNIVERSIDAD DE PENNSYLVANIA, ESCUELA DE NEGOCIOS WHARTON;INVESTIGACIÓN OPERACIONAL Y CIENCIAS DE LOS SISTEMAS SOCIALES;SI;SI
161413;YALE UNIVERSITY;LL.M MASTER IN LAW;SI;SI
161414;UNIVERSIDAD DE LIMA;MAESTRÍA EN ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
161416;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;COMUNICACIÓN;SI;SI
161417;UNIVERSIDAD DE BARCELONA;PLANIFICACIÓN TERRITORIAL Y GESTIÓN AMBIENTAL;SI;SI
161418;CAMBRIDGE UNIVERSITY;RELACIONES INTERNACIONALES;SI;SI
161419;UNIVERSIDAD CATÓLICA DE LOVAINA BÉLGICA;FILOSOFÍA;SI;SI
161421;LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE;MAESTRIA EN COMUNICACIÓN POLITICA;SI;SI
161422;UNIVERSIDAD PERUANA CAYETANO HEREDIA;MAESTRÍA EN MEDICINA;;NO
161424;UNIVERSIDAD DEL PACÍFICO;GESTIÓN PÚBLICA;SI;SI
161427;UNED ESPAÑA;ESPECIALISTA EN COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO EN LOS ÁMBITOS DE LA EDUCACIÓN, LA CIENCIA Y LA CULTURA;SI;SI
161428;UNIVERSIDAD ANTONIO RUIZ DE MONTOYA;CIENCIAS POLÍTICAS;;NO
161432;UNIVERSIDAD CESAR VALLEJO;GESTIÓN PUBLICA;SI;SI
161435;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DESARROLLO HUMANO: ENFOQUES Y POLÍTICAS;;NO
161439;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;EVALUACIÓN Y ACREDITACIÓN DE LA CALIDAD DE EDUCACIÓN;SI;SI
161440;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;MAESTRIA EN DERECHO CON MENCIÓN EN ADUANAS;SI;SI
161441;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;POLÍTICA FISCAL Y TRIBUTACIÓN;SI;SI
161444;UNIVERSIDAD NACIONAL DE INGENIERÍA;EN PROYECTOS DE INVERSIÓN PÚBLICA Y PRIVADA;SI;SI
161447;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;SEGUNDA ESPECIALIZACIÓN PROFESIONAL EN NUTRICIÓN PÚBLICA;SI;SI
161192;UNIVERSIDAD EXTERNADO DE COLOMBIA;PENSAMIENTO ESTRATÉGICO Y PROSECTIVA;SI;SI
161193;FLORIDA INTERNACIONAL UNIVERSITY;ORGANIZACIÓN E INVESTIGACIÓN EN CAMPAÑAS POLÍTICAS;SI;SI
161197;ESAN;MAESTRÍA EN FINANZAS Y DERECHO COORPORATIVO;;NO
161199;UNIVERSIDAD DE NAVARRA;DERECHO PENAL;SI;SI
161199;UNIVERSIDAD DE NAVARRA;DERECHO PENAL;SI;SI
161199;UNIVERSIDAD DE NAVARRA;DERECHO PENAL;SI;SI
161199;UNIVERSIDAD DE NAVARRA;DERECHO PENAL;SI;SI
161199;UNIVERSIDAD DE NAVARRA;DERECHO PENAL;SI;SI
161200;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DOCTORADO EN CIENCIAS SOCIALES - MENCIÓN EN SOCIOLOGÍA;SI;SI
161200;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DOCTORADO EN CIENCIAS SOCIALES - MENCIÓN EN SOCIOLOGÍA;SI;SI
161202;PONTIFICA UNIVERSIDAD CATÓLICA DEL PERÚ;MAESTRÍA EN DERECHO CIVIL;SI;SI
161205;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO CIVIL Y COMERCIAL;SI;SI
161207;UNIVERSIDAD DEL PACIFICO;ESCUELA DE GESTIÓN PÚBLICA;;NO
161209;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA DE GESTIÓN MUNICIPAL Y DESARROLLO LOCAL;SI;SI
161212;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;SALUD PUBLICA - MAESTRIA DOCTORADO;SI;SI
161214;UNIVERSIDAD SAN IGNACIO DE LOYOLA;MAGISTER EN ADMINISTRACIÓN DE NEGOCIOS;SI;SI
161215;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;GESTIÓN EN NEGOCIOS INTERNACIONALES;;NO
161220;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA EN ADMINISTRACIÓN;;NO
161223;INSTITUTO DE CIENCIAS SOCIALES Y POLÍTICAS (ICPS) - UAB;ANÁLISIS Y COMUNICACIÓN POLÍTICA;;NO
161227;UNIVERSIDAD CESAR VALLEJO;DOCTOR EN ADMINISTRACION;SI;SI
161227;UNIVERSIDAD CESAR VALLEJO;MAGISTER EN EDUCACIÓN;SI;SI
160240;UNIVERSIDAD DE BIELEFELD;SOCIOLOGIA;SI;SI
160242;SAN MARTIN DE PORRES;DERECHO NOTARIAL Y REGISTRAL;SI;SI
160243;UNIVERSIDAD AUTONOMA DE ICA;ADMINISTRACION DE NEGOCIOS;SI;SI
160244;AGENCE FRANCAISE POUR LA MAITRISSE DE L'ENERGIE;ENERGIA SOLAR FOTOVOLTAICA;SI;SI
160248;UNIVERSIDAD DE CASTILLA - LA MANCHA;MASTER UNIVERSITARIO EN DERECHO CONSTITUCIONAL;SI;SI
160257;ENRIQUE GUZMAN Y VALLE;MAESTRIA EN GESTION EDUCACIONAL;SI;SI
160258;UNIVERSIDAD DE SAN MARTIN DE PORRES;DOCENCIA UNIVERSITARIA: PEDAGOGIA DE LA MATEMATICA;SI;SI
160265;UNIVERSIDAD COMPLUTENSE DE MADRID;LITERATURA HISPANOAMERICANA;SI;SI
160267;ESCUELA DE POST GRADO WALTER PEÑALOZA RAMELLA;EDUCACION AMBIENTAL Y DESARROLLO SOSTENIBLE;SI;SI
160268;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA GESTION MUNCIPAL Y DL;SI;SI
159249;UNIVERSIDAD ESAN;MAGISTER EN GESTION PUBLICA;SI;SI
159252;UNIVERSIDAD DE SAN MARTIN DE PORRES;ENSEÑANZA DEL DERECHO;;NO
