ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
160632;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO NACIONAL DE GOBIERNOS REGIONALES;2017;2018
159889;PARTIDO POLÍTICO PERU POSIBLE;SUB SECRETARIA GENERAL;2014;2017
159889;PARTIDO POLÍTICO PERU POSIBLE;SECRETARÍA NACIONAL DE ORGANIZACIONES SOCIALES DE BASE;2012;2014
159891;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL DISTRITAL DE LINCE;2019;HASTA LA ACTUALIDAD
159892;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA NACIONAL DE LA MUJER Y DESARROLLO SOCIAL;2017;HASTA LA ACTUALIDAD
159893;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DISTRITAL DE SAN JUAN DE LURIGANCHO;2015;2017
159894;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DE ORGANIZACION DE SAN MARTIN DE PORRES;2019;HASTA LA ACTUALIDAD
159894;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL DISTRITAL;2017;2019
159895;PARTIDO POLÍTICO VAMOS PERU;MILITANTE;2014;2016
159895;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DISTRITAL DE MIRAFLORES;2019;HASTA LA ACTUALIDAD
159896;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA NACIONAL DE JUVENTUDES;2010;2013
159897;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL DEL DISTRITO DE ATE;2019;HASTA LA ACTUALIDAD
159899;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA DISTRITAL;2019;HASTA LA ACTUALIDAD
159899;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA PROVINCIAL DE MUJERES;2019;HASTA LA ACTUALIDAD
159900;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DISTRITAL PUEBLO LIBRE;2019;HASTA LA ACTUALIDAD
159910;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DISTRITAL DE COMAS;2017;2019
159910;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA PROVINCIAL DE COMUNICACIONES - LIMA;2019;HASTA LA ACTUALIDAD
159912;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DISTRITAL DE VILLA MARIA DEL TRIUNFO;2019;HASTA LA ACTUALIDAD
159912;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA PROVINCIAL DE PLAN DE GOBIERNO - LIMA;2019;HASTA LA ACTUALIDAD
159915;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA GENERAL DISTRITAL PACHACAMAC;2019;HASTA LA ACTUALIDAD
159915;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA DE ECONOMIA PROVINCIAL DE LIMA METROPOLITANA;2019;HASTA LA ACTUALIDAD
159920;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA DE ORGANIZACIÓN DEL DISTRITO DE MAGDALENA;2019;HASTA LA ACTUALIDAD
159922;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DE ECONOMÍA DISTRITAL;2017;2019
159922;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO DE ORGANIZACION;2019;HASTA LA ACTUALIDAD
159923;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA DISTRITAL DE COMUNICACIONES;2019;HASTA LA ACTUALIDAD
161412;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ POLÍTICO DEL PARTIDO MORADO;2018;HASTA LA ACTUALIDAD
161412;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO NACIONAL DE ESTRATEGIA PROGRAMÁTICA Y PLAN DE GOBIERNO;2018;HASTA LA ACTUALIDAD
161413;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2017;HASTA LA ACTUALIDAD
161413;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA NACIONAL DE ASUNTOS LEGALES;2018;HASTA LA ACTUALIDAD
161414;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO DE ORGANIZACIÓN Y PLANEAMIENTO;2019;HASTA LA ACTUALIDAD
161415;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL NACIONAL;2018;HASTA LA ACTUALIDAD
161415;PARTIDO POLÍTICO PARTIDO MORADO;PERSONERO LEGAL NACIONAL ALTERNO;2017;2019
161416;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA NACIONAL DE COMUNICACIÓN;2018;HASTA LA ACTUALIDAD
161418;PARTIDO POLÍTICO PARTIDO POR LA DEMOCRACIA SOCIAL - COMPROMISO PERU;MIEMBRO DE LA ASAMBLEA NACIONAL;2005;2006
161422;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2019;HASTA LA ACTUALIDAD
161423;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADORA;2017;HASTA LA ACTUALIDAD
