ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
160247;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2015;2018
160257;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
160265;IZQUIERDA UNIDA;REGIDOR DISTRITAL;1987;1989
159241;ALIANZA ELECTORAL ALIANZA POR EL GRAN CAMBIO;CONGRESISTA DE LA REPÚBLICA;2011;2016
159243;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;ALCALDE DISTRITAL;2015;2018
159251;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL SAN MIGUEL ME GUSTA;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
159251;PARTIDO POLÍTICO PERU PATRIA SEGURA;ALCALDE DISTRITAL;2015;2018
159252;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
159254;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2002;2006
159254;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR PROVINCIAL;2013;2014
159255;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2007;2010
159257;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR PROVINCIAL;2014;2014
159263;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
159266;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2018;2018
159269;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2015;2018
159269;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2011;2014
159275;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2011;2014
159275;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2007;2010
160864;CONVERGENCIA DEMOCRATICA;DIPUTADO;1985;1990
159929;ALIANZA ELECTORAL ALIANZA SOLIDARIDAD NACIONAL;CONGRESISTA DE LA REPÚBLICA;2011;2016
159929;CAMBIO 90 - NUEVA MAYORIA;CONGRESISTA DE LA REPÚBLICA;2006;2011
159930;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MOVIMIENTO INDEPENDIENTE POLITICO VILLA CAMBIA;REGIDOR DISTRITAL;2015;2018
159930;PARTIDO POLÍTICO PERU PATRIA SEGURA;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
159932;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;ALCALDE DISTRITAL;2007;2014
159933;PARTIDO POLÍTICO PERU PATRIA SEGURA;CONGRESISTA DE LA REPÚBLICA;1995;2000
159933;PARTIDO POLÍTICO PERU PATRIA SEGURA;CONGRESISTA DE LA REPÚBLICA;1993;1995
159940;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
159940;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2015;2018
159943;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
161037;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;REGIDOR PROVINCIAL;2018;HASTA LA ACTUALIDAD
161038;PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL;REGIDOR PROVINCIAL;2011;2014
161040;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;REGIDOR PROVINCIAL;2019;HASTA LA ACTUALIDAD
161041;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
161042;PARTIDO POLÍTICO RESTAURACION NACIONAL;ALCALDE DISTRITAL;2011;2014
161042;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;ALCALDE DISTRITAL;2015;2018
161043;PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL;REGIDOR PROVINCIAL;2014;2014
161046;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
161055;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
161055;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;1999;2002
161058;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
161059;ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2003;2006
161067;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
161069;ALIANZA ELECTORAL ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP;CONGRESISTA DE LA REPÚBLICA;2011;2016
161069;PARTIDO POLÍTICO FRENTE INDEPENDIENTE MORALIZADOR;CONGRESISTA DE LA REPÚBLICA;2001;2006
160366;ALIANZA ELECTORAL ALIANZA SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
160369;ALIANZA ELECTORAL IZQUIERDA UNIDA;DIPUTADO;1990;1992
160383;CAMBIO 90 NUEVA MAYORIA;REGIDOR DISTRITAL;1995;1998
160806;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO;REGIDOR DISTRITAL;2007;2010
160806;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL FUERZA POPULAR DE TRANSPARENCIA;CONGRESISTA DE LA REPÚBLICA;2016;2019
160807;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
160808;PARTIDO POLÍTICO PERU POSIBLE;CONGRESISTA DE LA REPÚBLICA;2000;2001
160808;PARTIDO POLÍTICO PERU POSIBLE;CONGRESISTA DE LA REPÚBLICA;2001;2006
160809;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2010;2014
160809;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
160818;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
160818;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
160833;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2018
160833;ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2003;2010
159832;PARTIDO POLÍTICO UNION POR EL PERU;CONGRESISTA DE LA REPÚBLICA;2006;2011
159833;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;CONGRESISTA DE LA REPÚBLICA;2011;2016
159833;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR PROVINCIAL;2003;2006
159862;PARTIDO POLITICO  SOMOS PERU;REGIDOR DISTRITAL;2003;2006
158724;PARTIDO POLÍTICO UNION POR EL PERU;CONGRESISTA DE LA REPÚBLICA;2006;2011
158728;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;2006;2010
158731;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2011;2015
158743;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE INDEPENDIENTE REGIONAL;REGIDOR PROVINCIAL;2000;2003
158759;ALIANZA ELECTORAL ALIANZA POR EL GRAN CAMBIO;REPRESENTANTE ANTE EL PARLAMENTO ANDINO;2011;2016
160555;OTRO;REGIDOR DISTRITAL;1999;2002
161758;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR PROVINCIAL;1990;1992
161758;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR PROVINCIAL;1987;1989
160999;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;ALCALDE DISTRITAL;2007;2010
160999;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;ALCALDE DISTRITAL;2015;2018
161000;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL ARRIBA CAÑETE;REGIDOR PROVINCIAL;2010;2010
161475;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;ALCALDE DISTRITAL;2013;2018
160074;PARTIDO POLÍTICO PERU POSIBLE;CONGRESISTA DE LA REPÚBLICA;2001;2006
158115;PARTIDO POLÍTICO FUERZA POPULAR;ALCALDE DISTRITAL;2011;2014
158116;MOVIMIENTO REGIONAL O DEPARTAMENTAL PATRIA JOVEN;REGIDOR PROVINCIAL;2010;2014
158193;PARTIDO POLÍTICO SIEMPRE UNIDOS;ALCALDE PROVINCIAL;2007;2010
157911;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INTEGRACION LORETANA;GOBERNADOR REGIONAL;2015;2018
161184;MOVIMIENTO ESPERANZA REGIÓN AMAZONAS MERA;ALCALDE PROVINCIAL;2017;2018
161184;MOVIMIENTO INTEGRACIÓN LORETANA MIL;CONSEJERO REGIONAL;2013;2015
160321;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA LORETANA;REGIDOR DISTRITAL;2015;2018
160233;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;2003;2006
157919;FUERZA ILO;ALCALDE DISTRITAL;1996;1998
157919;OTRO;ALCALDE DISTRITAL;1993;1995
157920;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE DE INTEGRACION REGIONAL MOQUEGUA EMPRENDEDORA FIRME;CONSEJERO REGIONAL;2019;HASTA LA ACTUALIDAD
159806;MOVIMIENTO REGIONAL O DEPARTAMENTAL NUESTRO ILO - MOQUEGUA - SANCHEZ CERRO;REGIDOR PROVINCIAL;2015;2018
159323;OTRO;REGIDOR PROVINCIAL;2011;2014
159324;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2014;2018
159324;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2010;2014
161567;MOVIMIENTO REGIONAL O DEPARTAMENTAL KAUSACHUN;VICEGOBERNADOR REGIONAL;2015;2018
159632;INDEPENDIENTE;ALCADE(SA) DE CENTRO POBLADO;2010;2014
160208;PARTIDO POLÍTICO UNION POR EL PERU;ALCALDE DISTRITAL;2015;2018
158069;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE NUESTRO ILO-MOQUEGUA;REGIDOR DISTRITAL;2007;2010
158069;PARTIDO POLÍTICO DEMOCRACIA DIRECTA;ALCALDE DISTRITAL;2015;2018
157949;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DEL PERU;REGIDOR PROVINCIAL;2019;HASTA LA ACTUALIDAD
159661;ALIANZA ELECTORAL FUERZA POPULAR;REGIDOR PROVINCIAL;2011;2014
158307;MOVIMIENTO REGIONAL O DEPARTAMENTAL PASCO VERDE;CONSEJERO REGIONAL;2014;2018
160566;PARTIDO POLÍTICO FUERZA POPULAR;CONSEJERO REGIONAL;2015;2018
159088;MOVIMIENTO REGIONAL O DEPARTAMENTAL PASCO VERDE;CONSEJERO REGIONAL;2015;2018
161858;VAMOS SACRA FAMILIA;ALCADE(SA) DE CENTRO POBLADO;2015;2019
160698;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;1993;1995
160698;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;2003;2006
160700;PARTIDO POLÍTICO ACCION POPULAR;ALCALDE PROVINCIAL;2014;2014
160700;PARTIDO POLÍTICO ACCION POPULAR;CONSEJERO REGIONAL;2018;2018
157924;ALIANZA ELECTORAL UNIDOS CONSTRUYENDO;CONSEJERO REGIONAL;2011;2014
157927;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL FUERZA PROVINCIAL PAITEÑA;REGIDOR PROVINCIAL;2018;2018
157930;OTRO;ALCALDE DISTRITAL;2003;2006
157930;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNIDAD POPULAR REGIONAL PIURA;ALCALDE DISTRITAL;2011;2014
158239;PARTIDO POLÍTICO DEMOCRACIA DIRECTA;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
159793;MOVIMIENTO DE UNIDAD POPULAR (MUP);ALCALDE DISTRITAL;1999;2010
