ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
160599;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DERECHO;SI;SI;NO
160600;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;CIENCIAS POLITICAS;SI;SI;SI
160602;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;CIENCIA POLITICA Y GOBIERNO;SI;SI;NO
160603;UNIVERSIDAD INCA GARCILASO DE LA VEGA;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
160604;UNIVERSIDAD PRIVADA TELESUP;DERECHO CORPORATIVO;NO;NO;NO
160605;UNIVERSIDAD TECNOLÓGICA DEL PERÚ;ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;SI;SI;NO
160606;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;;SI;SI;SI
160608;UNIVERSIDAD ALAS PERUANAS;DERECHO;SI;SI;SI
160609;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO Y CIENCIA POLITICAS;SI;SI;SI
160609;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO Y CIENCIA POLITICAS;SI;SI;SI
160611;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
160611;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;ECONOMIA;NO;NO;NO
160612;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;ADMINISTRACION;SI;SI;SI
160613;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;RELACIONES PUBLICAS;SI;SI;SI
160614;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;MEDICINA HUMANA;SI;SI;SI
160615;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO Y CIENCIAS POLÍTICAS;NO;NO;NO
160615;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;SOCIOLOGIA;NO;NO;NO
160617;UNIVERSIDAD NACIONAL DE TRUJILLO;ECONOMIA;SI;SI;SI
160618;UNIVERSIDAD SAN IGNACIO DE LOYOLA;ADMINISTRACIÓN EN TURISMO;SI;SI;SI
160621;UNIVERSIDAD JOSE CARLOS MARIATEGUI;INGENIERIA DE SISTEMAS E INFORMATICA;SI;SI;NO
160623;UNIVERSIDAD INCA GARCILASO DE LA VEGA;EDUCACION;SI;SI;NO
160624;UNIVESIDAD INCA GARCILASO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
